Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000475438963073583,0.112188735436936,-0.0236348704068635,0,0,0,10.6449682962249,0.0995128637703147,-0.000163350127796871,0.000550151658946434,0.08893797371299,-0.000644900692855464,0.0737924536015513,0,0,0,0,0,0,package://robot_pkg/meshes/base_link.STL,0.784313725490196,0.8,0.788235294117647,1,0,0,0,0,0,0,package://robot_pkg/meshes/base_link.STL,,IRB1200H_7-705-90_IRC5_Base_Standard_rev0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body,-0.00340321005125265,0.000184375888180371,0.102879180952259,0,0,0,6.04630864099575,0.0755518248025161,4.37140979110302E-05,-0.000508617561518169,0.0478793438082028,0.000210693152749955,0.0551003371650644,0,0,0,0,0,0,package://robot_pkg/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/body.STL,,IRB1200H_7-705-90_IRC5_Link1_rev0-1,Origin_joint1_21P0041_21P0240,Axis_joint1_21P0041_21P0240,joint1_21P0041_21P0240,continuous,0,0,0.21819,0,0,0.94754,base_link,0,0,1,,,,,,,,,,,,
Shoulder,-0.0123333078693897,-0.00115876766234844,0.218476545837387,0,0,0,7.97362434626973,0.266964295977509,5.97372155637516E-05,-0.00108091254359882,0.244727895198595,0.00034076901951832,0.0431965048469903,0,0,0,0,0,0,package://robot_pkg/meshes/Shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/Shoulder.STL,,IRB1200H_5-90_IRC5_Link2_rev0-1,Origin_joint2_21P0041_21P0240,Axis_joint2_21P0041_21P0240,joint2_21P0041_21P0240,revolute,0,0,0.18091,0,0.30271,0,body,0,1,0,0,0,-1.4426,2.6589,,,,,,,,
Upper_arm,0.0981180540389835,0.000204389805307584,0.0350293411657115,0,0,0,6.40138389110992,0.0203656284704236,0.000123448388788401,-0.00521181577258735,0.0782975287724145,4.37019219435598E-05,0.0720941418442719,0,0,0,0,0,0,package://robot_pkg/meshes/Upper_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/Upper_arm.STL,,IRB1200H_5-90_IRC5_Link3_rev0-1,Origin_joint3_21P0041_21P0240,Axis_joint3_21P0041_21P0240,joint3_21P0041_21P0240,revolute,0,0,0.448,0,-1.035,0,Shoulder,0,1,0,0,0,-2.4557,2.2567,,,,,,,,
Forearm,0.0233073959761997,0.00162896755983122,0.00109561141300996,0,0,0,1.79656024415033,0.00374706298189951,-0.000175041192828103,6.06369579670172E-05,0.00735245003818386,-1.26519317569947E-06,0.00789092071997723,0,0,0,0,0,0,package://robot_pkg/meshes/Forearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/Forearm.STL,,IRB1200H_5-90_IRC5_Link4_rev0-1,Origin_Joint4_21P0041_21P0240,Axis_Joint4_21P0041_21P0240,Joint4_21P0041_21P0240,revolute,0.33595,0,0.041973,1.8552,0,-1.5952E-05,Upper_arm,1,0,-1.662E-05,0,0,-4.9968,1.2864,,,,,,,,
wrist,0.0178480806345669,-0.00244241203771178,5.48535570039643E-05,0,0,0,0.578631348835986,0.000443159315603673,-2.25906358991793E-05,1.44574252975937E-06,0.00113730898203543,-5.61196512318676E-07,0.000997961410078165,0,0,0,0,0,0,package://robot_pkg/meshes/wrist.STL,0.780392156862745,0.8,0.788235294117647,1,0,0,0,0,0,0,package://robot_pkg/meshes/wrist.STL,,IRB1200H_5-90_IRC5_Link5_rev0-1,Origin_Joint5_21P0041_21P0240,Axis_Joint5_21P0041_21P0240,Joint5_21P0041_21P0240,revolute,0.11506,0,0,0,1.3588,0,Forearm,0,1,0,0,0,-3.6277,0.91017,,,,,,,,
Hand,-0.00240552839043784,0.00157971167640836,0.000172166791181205,0,0,0,0.0331057565407082,4.4176656070844E-06,3.30430654436265E-11,5.25575017619341E-09,9.07622811419301E-06,-1.26674653911547E-10,4.76603945981425E-06,0,0,0,0,0,0,package://robot_pkg/meshes/Hand.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://robot_pkg/meshes/Hand.STL,,Gripper_assy-1/Gripper_Connector-1;IRB1200H_5-90_IRC5_Link6_rev0-1;Gripper_assy-1/Gripper_base-1,Origin_Joint6_21P0041_21P0240,,Joint6_21P0041_21P0240,fixed,0.098,-1.3927E-05,0,3.1416,1.3525,-1.5708,wrist,0,0,0,,,,,,,,,,,,
Finger_1,0.0108079389911105,0.0291234651468031,-0.0187131764918136,0,0,0,0.003558662556609,2.23818807599671E-07,6.37321839536528E-13,-9.5542288290955E-14,1.14319214109165E-07,3.89695790981267E-08,2.46512541006127E-07,0,0,0,0,0,0,package://robot_pkg/meshes/Finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/Finger_1.STL,,Gripper_assy-1/Finger_2-1,Origin_Joint7_21P0041_21P0240,,Joint7_21P0041_21P0240,fixed,-0.030797,-0.00043303,0.012393,0,1.5198,-3.1416,Hand,0,0,0,,,,,,,,,,,,
Finger2,0.00799583475239635,0.0291235363285612,-0.0578379507181377,0,0,0,0.00355871254797987,2.2516732909113E-07,-9.48630053972813E-09,5.3590774762568E-09,1.14320942598545E-07,-3.77978308954588E-08,2.45172091475015E-07,0,0,0,0,0,0,package://robot_pkg/meshes/Finger2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_pkg/meshes/Finger2.STL,,Gripper_assy-1/Finger_1-1,Origin_Joint8_21P0041_21P0240,,Joint8_21P0041_21P0240,fixed,-0.046032,-0.00043303,0.013296,0,1.5198,-3.1416,Hand,0,0,0,,,,,,,,,,,,
